product_key,category,product_name,total_reviews,cleanse_ratio,orig_rating,cleaned_rating,axis_1,axis_2,axis_3,axis_4,summary_1
intel-core-i5-14400f,cpu,Intel Core i5-14400F,423,0.066,4.16,3.76,게임성능 긍정 90%,발열 부정 50%,번들쿨러 부정 40%,전력효율 긍정 76%,기본 쿨러로는 부족해 사제 쿨러 교체가 사실상 필수라는 후기가 많습니다.
intel-core-i5-14600k,cpu,Intel Core i5-14600K,1311,0.213,4.53,4.15,게임성능 긍정 87%,발열 부정 55%,번들쿨러 부정 60%,전력효율 긍정 83%,장시간 풀로드 시 온도가 90도 근처까지 올라 쿨러를 신경 써야 한다는 지적이 반복됩니다.
intel-core-i7-14700k,cpu,Intel Core i7-14700K,1541,0.216,4.28,3.98,게임성능 긍정 64%,발열 긍정 75%,번들쿨러 부정 48%,전력효율 긍정 75%,전력 제한만 걸어두면 온도와 소음이 확실히 잡힌다는 후기가 많습니다.
intel-core-ultra-7-265k,cpu,Intel Core Ultra 7 265K,150,0.079,4.24,3.89,게임성능 부정 45%,발열 부정 52%,번들쿨러 부정 45%,전력효율 긍정 84%,전력 제한만 걸어두면 온도와 소음이 확실히 잡힌다는 후기가 많습니다.
intel-core-ultra-9-285k,cpu,Intel Core Ultra 9 285K,301,0.078,4.21,4.05,게임성능 긍정 73%,발열 부정 58%,번들쿨러 부정 46%,전력효율 긍정 92%,아이들·게임 전력이 낮아 조용하고 발열 관리가 쉽다는 반응이 많습니다.
amd-ryzen-5-7600,cpu,AMD Ryzen 5 7600,490,0.23,4.73,4.32,게임성능 긍정 61%,발열 긍정 65%,번들쿨러 부정 44%,전력효율 긍정 64%,게임 위주 사용에서는 상위 라인업과 체감 차이가 크지 않다는 후기가 많습니다.
amd-ryzen-7-7700,cpu,AMD Ryzen 7 7700,331,0.078,4.21,3.99,게임성능 긍정 85%,발열 부정 59%,번들쿨러 부정 44%,전력효율 긍정 82%,동급에서 프레임이 잘 뽑히고 1% 로우도 안정적이라는 평이 반복됩니다.
amd-ryzen-7-9800x3d,cpu,AMD Ryzen 7 9800X3D,1559,0.092,4.53,4.32,게임성능 긍정 83%,발열 부정 41%,번들쿨러 부정 44%,전력효율 긍정 78%,전력 제한만 걸어두면 온도와 소음이 확실히 잡힌다는 후기가 많습니다.
amd-ryzen-9-9950x,cpu,AMD Ryzen 9 9950X,548,0.08,4.35,4.01,게임성능 긍정 63%,발열 부정 49%,번들쿨러 부정 50%,전력효율 부정 44%,전력 제한만 걸어두면 온도와 소음이 확실히 잡힌다는 후기가 많습니다.
amd-ryzen-5-5600,cpu,AMD Ryzen 5 5600,569,0.12,4.63,4.16,게임성능 부정 52%,발열 부정 43%,번들쿨러 부정 52%,전력효율 긍정 90%,전력 제한만 걸어두면 온도와 소음이 확실히 잡힌다는 후기가 많습니다.
